date,BTC,ETH,BNB,ADA,XRP,DOGE,DOT,UNI,BCH,SOL,LTC,LINK,MATIC,WBTC,ETC,XLM,DAI,THETA,ICP,LUNA,FIL,ALGO,AVAX,ATOM
2021-07-09,0.961132,1.110486,1.761775,1.491703,1.158522,5.508183,1.342924,1.163459,1.850719,3.269937,1.613981,0.999452,4.482501,1.031468,1.941026,0,0,0,0,0,0,0,0,0
2021-07-10,0.972494,0.979441,1.635643,1.348963,0.911593,5.508183,1.274726,1.531871,1.32583,3.629193,1.480639,0.999452,7.975561,0.932772,1.444349,0,0,0,0,0,0,0,0,0
2021-07-11,0.969452,0.979441,1.836944,1.390564,1.158445,3.703704,1.637726,1.219318,1.228239,3.260398,1.212913,1.024717,9.174087,0.953684,1.555715,0,0,0,0,0,0,0,0,0
2021-07-12,0.973817,0.979441,1.920494,1.423341,1.045184,3.520635,1.342924,1.046601,1.323035,3.440965,1.343368,0.98399,7.960246,0.953684,1.482727,0,0,0,0,0,0,0,0,0
2021-07-13,0.975231,0.979441,1.903649,1.206933,0.999719,2.839036,1.246324,1.056028,1.289484,3.117559,1.552711,1.061416,4.31535,0.953684,1.883676,0,0,0,0,0,0,0,0,0
2021-07-14,1.005176,1.001829,2.051555,1.028934,1.050627,2.777478,1.246324,1.020746,1.289484,3.193572,1.246968,1.088923,4.646349,0.992665,2.051594,0,0,0,0,0,0,0,0,0
2021-07-15,1.035627,1.001829,2.322843,1.263628,1.050627,1.736346,1.380761,1.020746,1.380581,3.20926,1.598309,1.088923,5.006009,0.82596,1.425675,0,0,0,0,0,0,0,0,0
2021-07-16,0.886463,1.493682,1.511522,1.204767,0.902487,2.024222,1.204466,1.00312,1.062915,3.025858,1.68265,1.10657,0,0.882243,1.421166,1.329085,0,0,0,0,0,0,0,0
2021-07-17,0.913039,1.434875,1.805574,1.135219,0.902487,2.076659,1.33019,1.060161,1.252803,2.804102,1.497348,1.106556,0,0.892116,1.15185,1.291822,0,0,0,0,0,0,0,0
2021-07-18,0.910829,0.831245,1.412996,1.192579,0.902487,1.836127,1.33019,1.017045,1.562211,2.804102,1.393555,0.982328,0,0.945474,1.518823,1.291822,0,0,0,0,0,0,0,0
2021-07-19,0.943134,1.791534,1.356429,1.284529,0.907649,2.313971,1.33019,1.017045,1.703205,2.804102,1.237774,1.107063,0,0.955934,1.518823,1.329085,0,0,0,0,0,0,0,0
2021-07-20,0.976343,1.558023,1.600131,0.72674,1.279828,2.618326,1.156568,1.027345,1.279073,2.854346,1.237774,1.028957,0,0.950865,1.512089,0,0.152804,0,0,0,0,0,0,0
2021-07-21,0.930346,1.586234,1.302835,0.847773,0.926515,1.90483,1.289778,1.024843,1.466543,2.854346,1.406536,1.028957,0,0.955934,1.428821,0,0.157795,0,0,0,0,0,0,0
2021-07-22,0.99812,0.772673,1.106288,0.861734,1.0034,1.969016,1.095559,1.493155,1.307941,3.928567,1.524982,1.067903,2.076032,0.960714,0,0.984247,0,0,0,0,0,0,0,0
2021-07-23,1.049035,0.861551,2.165732,0.807763,1.294363,2.094699,1.149216,1.493155,1.326139,3.605744,1.004382,1.189773,4.812924,0.953779,0,1.059509,0,0,0,0,0,0,0,0
2021-07-24,1.061526,0.929252,2.522133,0.755983,1.60981,2.579197,1.354497,1.531935,0.776069,3.540034,0.978778,1.174249,5.628998,0.950495,0,1.029734,0,0,0,0,0,0,0,0
2021-07-25,0.939163,1.413094,0.96485,1.051644,1.117413,3.408208,1.183865,1.53408,1.172861,1.530383,1.181951,1.198763,0,0.93747,1.290189,0,0,1.602205,0,0,0,0,0,0
2021-07-26,1.026018,0.861328,0.943201,1.404308,1.455519,2.894874,1.134871,1.110533,1.145309,1.074559,0.892529,1.071311,0.91782,0.953397,1.237509,0,0,0,0,0,0,0,0,0
2021-07-27,0.960291,0.995461,1.760675,1.099491,1.699411,3.144636,1.099147,1.42715,1.155855,1.080995,0.887262,1.354768,0.91782,0.977953,1.530265,0,0,0,0,0,0,0,0,0
2021-07-28,1.039934,0.886071,1.590805,1.012892,1.675139,2.49759,1.451292,1.161497,0.886895,1.071667,0.899723,1.293367,0.91782,0.955888,1.327886,0,0,0,0,0,0,0,0,0
2021-07-29,1.001798,1.115754,1.319993,1.012892,1.195835,2.496031,1.159332,1.164794,0.908641,1.034011,0.903894,1.080365,1.146857,1.011965,1.154773,0,0,0,0,0,0,0,0,0
2021-07-30,1.060499,1.049809,1.419856,0.768205,1.212291,2.479783,1.011252,1.174149,1.045209,1.172536,1.00091,0.887917,1.256321,1.008061,0,1.016161,0,0,0,0,0,0,0,0
2021-07-31,1.060499,1.267953,1.207442,0.768205,1.295181,2.643033,1.482909,1.225466,1.000285,1.065136,0.981502,1.023218,1.165763,0.982048,0,0.991309,0,0,0,0,0,0,0,0
2021-08-01,1.108562,1.150371,1.611726,0.773597,1.345719,2.445565,1.190956,1.168179,1.145885,1.065136,0.995957,1.029869,1.108151,1.00164,0,1.085441,0,0,0,0,0,0,0,0
2021-08-02,0.974674,1.007316,1.693874,0.796506,1.389733,2.442997,1.177845,1.289872,0.846431,1.076818,0.949983,0.987249,1.020203,0.990147,1.215671,0,0,0,0,0,0,0,0,0
2021-08-03,0.988771,1.147476,1.686592,0.772657,1.197903,2.407894,1.190956,1.41205,1.154224,1.079883,1.163729,1.007619,1.084022,0.99599,0,1.179834,0,0,0,0,0,0,0,0
2021-08-04,0.974674,1.274944,1.743478,0.768182,1.043285,2.517359,1.190956,1.133497,1.154224,1.446253,0.960226,1.019378,1.200398,1.011673,0,1.095656,0,0,0,0,0,0,0,0
2021-08-05,0.960918,1.108922,1.659092,1.05756,1.006067,2.39517,1.154872,1.204528,1.06522,1.084304,0.95687,1.019625,1.120228,1.007452,1.752852,0,0,0,0,0,0,0,0,0
2021-08-06,0.972753,1.152912,1.437344,0.740656,0.880796,1.722599,1.548024,1.468213,0.873135,1.78334,0.866444,1.241956,1.090056,1.002229,0,0,0,1.105873,0,0,0,0,0,0
2021-08-07,0.948081,0.959654,1.710059,0.748082,1.003426,1.517291,1.301893,1.334947,1.171658,1.527296,0.883218,1.008009,0.995739,0.967028,0,0,0,0,2.261753,0,0,0,0,0
2021-08-08,0.977806,1.308317,1.604622,0.789523,1.156366,2.0369,1.099024,1.355435,1.159489,1.675508,0.836549,0.985194,0,0.975107,1.690917,0,0,0,2.634655,0,0,0,0,0
2021-08-09,1.001672,1.010328,1.604622,0.792218,1.156366,1.456117,1.099024,1.519265,1.171658,1.647107,0.857678,0.980042,0,0.985852,1.580266,0,0,0,2.634655,0,0,0,0,0
2021-08-10,1.023788,0.990681,1.184509,0.792218,0.9003,2.301587,1.007414,1.358654,1.113616,1.647107,1.098475,0.918655,0,0.967741,2.061422,0,0,0,2.634655,0,0,0,0,0
2021-08-11,1.097338,0.975914,1.095312,0.950142,1.054189,1.360927,1.175428,1.345886,1.108659,1.707699,0.981882,0.92004,1.090885,0.967741,0,0,0,0,2.206027,0,0,0,0,0
2021-08-12,1.07704,1.052686,1.086245,0.783494,1.094716,2.151279,1.171546,1.313282,1.134308,1.025479,1.056571,0.91059,1.054435,0.952031,0,0,0,0,2.029601,0,0,0,0,0
2021-08-13,1.07704,0.969826,1.150724,0.783494,0.985168,2.148622,1.17285,1.343265,0.974989,1.076914,1.059087,0.870321,1.060493,0.967741,0,0,0,0,0.96351,0,0,0,0,0
2021-08-14,1.022439,1.057605,0.984577,1.048548,0.985168,1.408132,1.184377,1.329598,0.98071,1.017247,1.013798,0.817259,1.093684,0.95674,0,0,0,0,1.038221,0,0,0,0,0
2021-08-15,1.00614,0.831653,1.279449,0.804685,1.079335,2.323861,1.135357,1.216134,0.911941,1.051339,0.988557,0.871059,1.069459,0.971499,1.490752,0,0,0,0,0,0,0,0,0
2021-08-16,0.642602,0.90625,1.051232,0.822719,1.194592,2.24392,1.125227,1.190804,0.902012,1.058911,0.964,1.012968,1.068411,0,1.511645,0.832441,0,0,0,0,0,0,0,0
2021-08-17,0.635167,0.852172,1.222356,0.948455,1.356848,2.593517,1.116553,0.956635,1.095565,0.989735,0.898668,0.827112,1.070386,0,1.450264,0,0,0,0,2.01608,0,0,0,0
2021-08-18,0.991904,0.886807,1.19191,1.220364,1.488614,2.057187,1.299345,1.224117,1.113009,0.987837,0.898668,0.875836,1.074643,0.974492,0,0,0,0,0,3.240173,0,0,0,0
2021-08-19,0.99024,0.914825,1.624511,0.816807,1.960566,1.823848,1.087199,1.319188,0.946216,0.992253,0.916816,1.1341,0,0.964122,0,0,0,0,1.019987,1.872892,0,0,0,0
2021-08-20,0.671119,0.908444,1.293645,1.28148,1.677878,0.911813,1.367556,1.319188,0.926956,1.272929,0.910925,0.875387,0.989213,0,0,0,0,0,1.006191,3.545391,0,0,0,0
2021-08-21,1.029044,0.832202,1.669868,0.782071,1.321572,1.157458,1.122455,1.225342,0.926956,1.272929,0.909782,0.875387,0.989213,0,0,0,0,0,1.034737,1.780104,0,0,0,0
2021-08-22,1.012531,0.832202,1.293645,0.631786,1.387133,1.157458,1.122455,1.225342,0.942939,1.272929,0.909782,0.875387,0.948696,0,0,0,0,0,1.034737,3.141847,0,0,0,0
2021-08-23,0.934479,0.84028,1.307995,0.634021,1.387133,1.491963,1.212277,1.225342,0.818812,1.211835,1.027692,0.914286,0.985589,0,0,0,0,0,1.034737,3.083542,0,0,0,0
2021-08-24,1.520662,0.84028,0.919875,0.766616,1.167072,1.165435,0.956734,1.464503,0.759849,0.894179,0.875435,0.914286,1.001332,0,0,0,0,0,1.034737,3.324976,0,0,0,0
2021-08-25,0.996374,0.879518,0.936943,0.803053,1.316783,1.526181,1.055676,1.434427,0.844632,1.250291,0.878998,0.83046,1.09482,1.014722,0,0,0,0,0,3.406603,0,0,0,0
2021-08-26,0.994124,0.838952,1.253065,0.819893,1.316783,1.526181,1.004871,1.544795,0.844632,1.833191,0.854369,0.83046,1.123323,1.018383,0,0,0,0,0,6.042808,0,0,0,0
2021-08-27,1.022311,0.838952,0.805758,0.819893,1.069878,1.384112,1.004871,1.421414,0.851062,1.9451,0.841369,0.819996,1.134874,1.032309,0,0,0,0,0,2.253378,0,0,0,0
2021-08-28,0.969883,0.93409,0.868615,0.929322,1.274258,1.451601,1.02292,1.188341,0.801077,1.092643,0.813118,1.168086,0,0.979867,0,0,0,0,1.709316,3.181024,0,0,0,0
2021-08-29,0.969883,0.930627,0.733231,0.929322,1.245731,1.325023,0.988426,1.143905,0.844175,1.042123,0.846522,1.130351,0,0.967616,0,0,0,0,2.262791,3.181024,0,0,0,0
2021-08-30,0.995963,0.915774,0.733231,0.917979,1.245731,1.325023,0.969405,1.225342,0.78244,0.825332,0.767669,1.129399,0,0.979867,0,0,0,0,1.709316,4.882979,0,0,0,0
2021-08-31,0.990142,0.909848,0.8941,0.899883,1.201874,1.325472,0.930066,1.225342,0.79789,0.830551,0.754019,1.092831,0,0.996242,0,0,0,0,3.156248,6.566362,0,0,0,0
2021-09-01,0.969883,0.915774,0.909777,0.899883,1.245731,1.280221,0.974218,1.225342,0.79789,1.151812,0.767669,1.128409,0,1.00298,0,0,0,0,2.992916,3.395575,0,0,0,0
2021-09-02,0.969883,0.915774,0.909777,0.899883,1.269714,1.142128,0.920749,1.533621,0.908709,1.102097,0.844335,1.064206,0,0.979033,0,0,0,0,1.75202,3.395575,0,0,0,0
2021-09-03,0.969883,0.915774,0.902066,0.902425,1.245731,1.381063,0.897439,1.056802,0.930495,1.102097,0.75882,1.189274,0,0.972203,0,0,0,0,2.851526,4.106156,0,0,0,0
2021-09-04,0.635399,0.79576,0.836241,0.912449,1.004643,1.065158,1.013403,1.275845,0.74012,0.807508,0.963613,0.99674,0.81611,0,0,0,0,0,2.948642,2.994977,0,0,0,0
2021-09-05,0.620968,0.943383,0.86446,0.931343,1.066641,1.181352,0.962036,1.275845,0.790006,2.710098,0.963613,0.887608,0.81611,0,0,0,0,0,2.844619,3.503671,0,0,0,0
2021-09-06,0.562323,0.855486,0.74617,0.946498,1.188125,1.150939,0.888747,1.367146,0.812576,1.142116,0.783959,1.130351,0,0,0,0,0,0,2.720793,2.942917,0.830302,0,0,0
2021-09-07,0.680428,0.843563,0.695597,1.238505,1.130627,1.093977,0.96718,1.038727,0.755135,1.372445,0.806051,1.024855,0,0,0,0,0,0,2.032165,2.567736,1.101853,0,0,0
2021-09-08,0.985397,0.851211,1.106119,1.009489,1.412503,0.934061,1.150291,1.028624,0.793849,2.291495,0.994371,1.196573,0,0.955637,0,0,0,0,1.452463,2.765804,0,0,0,0
2021-09-09,0.733746,0.864093,1.106119,1.130207,1.345802,0.959467,1.123445,1.03035,0.79583,1.397103,0.920245,1.354993,0,0,0,0,0,0,2.773114,3.070635,0,0.690774,0,0
2021-09-10,1.08097,1.097327,1.142805,1.014386,1.3843,1.050656,1.055285,0.969206,0.777591,2.245602,0.914227,1.356914,0,0,0,0,0,0,0,2.967623,0,0.789993,1.678034,0
2021-09-11,0.670733,0.969735,1.298803,0.797003,1.416776,1.031448,1.263161,0.944933,0.712272,2.45073,0.883683,1.356914,0,0,0,0,0,0,0,2.967623,0,0.789993,1.678034,0
2021-09-12,0.958911,0.969735,0.896372,0.797003,1.416776,1.058146,1.265047,0.966931,0.703014,2.491064,0.930848,1.336494,0,0,0,0,0,0,0,2.967623,0,0.777159,1.678034,0
2021-09-13,1.084675,0.940147,1.065624,1.015951,1.416776,0.982188,1.263392,1.145306,0.63832,2.198903,0.926292,1.192409,0,0,0,0,0,0,0,2.444598,0,0.728171,1.717562,0
2021-09-14,1.084675,0.760391,0.99404,1.013524,1.416776,0.989712,1.265047,1.020453,0.684678,2.148612,0.946434,1.219258,0,0,0,0,0,0,0,2.444598,0,0.745722,1.717562,0
2021-09-15,0.734683,0.69138,1.140439,1.089773,1.253363,1.008406,1.174213,1.208442,0.696228,2.251273,0.9436,1.192409,0,0,0,0,0,0,0,2.620462,0,1.084606,1.718013,0
2021-09-16,0.666159,0.793721,1.244712,1.089773,1.199647,1.040585,1.218922,1.012204,0.684896,2.043638,1.116633,1.219258,0,0,0,0,0,0,0,2.620462,0,1.023253,1.718013,0
2021-09-17,0.734683,0.793721,1.244712,1.089773,1.253363,0.949878,1.223801,1.012204,0.684896,3.334285,1.019162,1.335298,0,0,0,0,0,0,0,2.673124,0,1.023253,1.718013,0
2021-09-18,0.734683,0.729133,1.132886,1.089773,1.253363,0.949878,1.174499,1.012204,0.684896,3.334285,0.935541,1.335298,0,0,0,0,0,0,0,3.269689,0,1.081705,1.718013,0
2021-09-19,0.666159,0.760391,0.894516,1.118419,1.206828,0.949878,1.515325,1.012204,0.602912,3.104288,0.931464,1.052806,0,0,0,0,0,0,0,2.656362,0,0,1.753079,1.006198
2021-09-20,0.533376,1.082706,0.99404,1.115889,1.426844,0.774203,1.515325,1.117571,0.760871,1.29209,0.931464,1.02629,0,0,0,0,0,0,0,2.11642,0,0,1.762138,1.006198
2021-09-21,0.525303,0.897065,0.755644,0.984615,1.514072,0.776366,1.026193,0.925691,0.823826,1.431717,0.999132,1.234279,0,0,0,0,0,0,0,1.195094,0,0,1.753079,1.861703
2021-09-22,0.542226,0.914373,0.782439,0.984615,1.354232,0.88952,1.230561,1.007112,0.898227,3.334285,0.986213,1.326993,0,0,0,0,0,0,0,2.578067,0,0.997424,1.718013,0
2021-09-23,0.542226,0.939304,0.763885,0.999816,1.360022,0.795267,1.004509,0.962275,0,1.375639,1.012345,1.216376,0,0,0,0,0,0,0,1.195094,0,0.997424,2.212034,1.550243
2021-09-24,0.533815,0.895699,0.751713,0.991539,1.360022,0.776366,1.170921,0.883106,0,1.375639,0.905298,1.216376,0,0,0,0,0,0,0,1.195094,0,0.997424,2.200099,1.550243
2021-09-25,0.771363,0.895699,0.710046,0.991539,1.363082,0.795267,1.16959,0.977947,0,1.38978,0.906288,1.222528,0,0,0,0,0,0,0,1.195094,0,0.997424,2.165849,1.570333
2021-09-26,0.78394,0.940518,0.723109,1.21612,1.360022,0.751104,0.989165,0.959216,0,1.375639,0.91029,1.221996,0,0,0,0,0,0,0,1.195094,0,1.033363,2.200099,1.047247
2021-09-27,0.542226,0.90591,0.756472,1.079681,1.360022,0.920621,0.989165,0.959216,0,1.51215,0.906996,1.24789,0,0,0,0,0,0,0,1.222964,0,1.033363,2.211588,1.047247
